Symbol,ArzeshKole,userid,tradedate,karmozd
شستا,48100000,1075,7/4/2021,146224
شستا,32734000,1075,7/4/2021,99511
شستا,25389000,1075,7/4/2021,77183
شستا,13000000,1075,7/4/2021,39520
شستا,7150000,1075,7/4/2021,21736
شستا,3627000,1075,7/4/2021,11026
سشرق,6410000,9863,7/4/2021,19486
سشرق,3846000,9863,7/4/2021,11692
سشرق,2564000,9863,7/4/2021,7795
توریل,450000000,27489,7/4/2021,1368000
توریل,142500000,27489,7/4/2021,433200
توریل,16500000,27489,7/4/2021,50160
توریل,9330000,27489,7/4/2021,28363
توریل,2550000,27489,7/4/2021,7752
توریل,1080000,27489,7/4/2021,3283
ثشاهد,199592160,24372,7/4/2021,606760
سرچشمه,46464000,40390,7/4/2021,141251
سرچشمه,7040000,40390,7/4/2021,21402
سرچشمه,7040000,40390,7/4/2021,21402
دلقما,6490000,9388,7/4/2021,19730
زفکا,34786580,994,7/4/2021,105751
ثباغ,8000800,12058,7/4/2021,24322
ثباغ,10001,12058,7/4/2021,30
وپویا,991570,68,7/4/2021,3014
وپویا,987240,68,7/4/2021,3001
وپویا,987240,68,7/4/2021,3001
وپویا,987240,68,7/4/2021,3001
وپویا,987240,68,7/4/2021,3001
وپویا,987240,68,7/4/2021,3001
وپویا,567230,68,7/4/2021,1724
شگویا,36614800,9863,7/4/2021,111309
شگویا,1625200,9863,7/4/2021,4941
کویر,250580400,40674,7/4/2021,761764
کویر,179510400,40674,7/4/2021,545712
کویر,13800000,40674,7/4/2021,41952
کویر,13800000,40674,7/4/2021,41952
کویر,13800000,40674,7/4/2021,41952
کویر,13800000,40674,7/4/2021,41952
کویر,13800000,40674,7/4/2021,41952
کویر,13800000,40674,7/4/2021,41952
کویر,13800000,40674,7/4/2021,41952
کویر,13800000,40674,7/4/2021,41952
سرچشمه,6336000,40390,7/4/2021,19261
سرچشمه,73462400,40390,7/4/2021,223326
کویر,6900000,40674,7/4/2021,20976
دسانکو,86424000,10746,7/4/2021,262729
دسانکو,888576000,10746,7/4/2021,2701271
کویر,69000000,40674,7/4/2021,209760
خکاوه,36500000,259,7/4/2021,110960
خکاوه,146000000,259,7/4/2021,443840
کویر,175743000,40674,7/4/2021,534259
کویر,133749600,40674,7/4/2021,406599
کویر,79474200,40674,7/4/2021,241602
سرچشمه,3977600,40390,7/4/2021,12092
سرچشمه,77440000,40390,7/4/2021,235418
سرچشمه,28540160,40390,7/4/2021,86762
کویر,301033200,40674,7/4/2021,915141
کویر,69000000,40674,7/4/2021,209760
ونوین,12740000,23071,7/4/2021,38730
کویر,13800000,40674,7/4/2021,41952
کویر,138000000,40674,7/4/2021,419520
ذوب,28985750,28737,7/4/2021,88117
کویر,4899000,40674,7/4/2021,14893
نوری,17816400,7801,7/4/2021,54162
نوری,5380200,7801,7/4/2021,16356
نوری,13230000,7801,7/4/2021,40219
نوری,31752000,7801,7/4/2021,96526
نوری,196532750,7801,7/4/2021,597460
